value	mean_E	var_E	mean_error	mean_abs_error	n_sims	subject	session	condition	sd_E	variant
2.5	3.0333029046058653	6.468495600210831	0.5333029046058655	0.5333029046058655	1000	03	1	inverse_cdf	2.543323730910171	unsmoothed
3.0	6.968570134878158	42.14344073555365	3.968570134878159	3.973771992444992	1000	03	1	inverse_cdf	6.491797958620835	unsmoothed
4.0	7.313634786128998	34.79196675933707	3.313634786128998	3.329749093532562	1000	03	1	inverse_cdf	5.898471561289168	unsmoothed
5.0	8.37950035238266	37.25182228339439	3.37950035238266	3.610321341991424	1000	03	1	inverse_cdf	6.103427093313591	unsmoothed
7.5	10.052466380596162	27.297207658637305	2.5524663805961607	2.9830868611335752	1000	03	1	inverse_cdf	5.224672971453553	unsmoothed
11.5	11.878009192228316	6.7690972905848215	0.3780091922283172	1.0155853493213651	1000	03	1	inverse_cdf	2.601748890762677	unsmoothed
16.0	16.019709617614748	0.0920740647428943	0.019709617614746	0.0407016296386718	1000	03	1	inverse_cdf	0.3034370853124158	unsmoothed
18.5	18.846230485916134	3.0540786633459	0.3462304859161377	0.7541101016998291	1000	03	1	inverse_cdf	1.7475922474495875	unsmoothed
20.0	20.502456918001176	10.505153512902698	0.502456918001175	1.860822493314743	1000	03	1	inverse_cdf	3.241165455959121	unsmoothed
21.0	21.60699539899826	15.355653544968757	0.6069953989982605	2.561986839771271	1000	03	1	inverse_cdf	3.918629038958492	unsmoothed
21.5	21.98410538482666	8.889228338856679	0.4841053848266601	1.599089023590088	1000	03	1	inverse_cdf	2.981480896946462	unsmoothed
22.0	22.01742109489441	0.168934844099643	0.0174210948944091	0.0670605564117431	1000	03	1	inverse_cdf	0.4110168416253073	unsmoothed
22.5	22.62798457813263	1.7693537803904902	0.1279845781326294	0.436268256187439	1000	03	1	inverse_cdf	1.3301705831924304	unsmoothed
23.0	23.557419058799745	8.096239475502793	0.5574190587997436	1.617651120185852	1000	03	1	inverse_cdf	2.8453891606426693	unsmoothed
24.0	24.49744980764389	11.581404856969836	0.4974498076438904	2.04869544839859	1000	03	1	inverse_cdf	3.4031463173025394	unsmoothed
25.5	25.87959283208847	16.01843998420403	0.3795928320884704	2.532990789890289	1000	03	1	inverse_cdf	4.002304334280944	unsmoothed
28.0	27.747304718017578	15.00735254067127	-0.2526952819824218	2.0896665306091307	1000	03	1	inverse_cdf	3.873932438836701	unsmoothed
32.5	30.68480532574653	19.27705153026457	-1.815194674253464	2.664971651792526	1000	03	1	inverse_cdf	4.390563919391742	unsmoothed
36.5	33.804863717079165	19.0560747673268	-2.6951362829208376	2.936246062278748	1000	03	1	inverse_cdf	4.365326421623794	unsmoothed
39.0	36.69716421461106	18.000243636451245	-2.3028357853889467	2.361653297901153	1000	03	1	inverse_cdf	4.242669399853263	unsmoothed
40.0	37.24979669141769	19.6396109828816	-2.750203308582306	2.7842420353889463	1000	03	1	inverse_cdf	4.431660070772757	unsmoothed
41.0	40.71746925544739	1.8183311683222405	-0.2825307445526123	0.2860985774993896	1000	03	1	inverse_cdf	1.3484551043035287	unsmoothed
41.5	35.7828319735527	36.61990607947559	-5.717168026447296	5.717168026447296	1000	03	1	inverse_cdf	6.051438347986005	unsmoothed
5.5	5.951105465888977	3.809504654046575	0.451105465888977	0.451105465888977	1000	03	2	cdf	1.9517952387600948	unsmoothed
8.0	9.14521373128891	9.378319711610605	1.14521373128891	1.204633472919464	1000	03	2	cdf	3.062404237133074	unsmoothed
10.0	11.115466690063476	10.898130691708603	1.1154666900634769	1.5982532138824463	1000	03	2	cdf	3.30123169312737	unsmoothed
11.0	12.692193117141723	17.50151956758915	1.6921931171417235	2.212975772857666	1000	03	2	cdf	4.183481751793493	unsmoothed
11.5	13.020793561935426	17.004300595878245	1.5207935619354247	1.98079510307312	1000	03	2	cdf	4.1236271164932266	unsmoothed
12.0	14.031364980697631	21.95577805657462	2.031364980697632	2.628321914672852	1000	03	2	cdf	4.685699313504295	unsmoothed
12.5	14.608315483093262	22.59953155342027	2.1083154830932616	2.8625447216033937	1000	03	2	cdf	4.753896460107253	unsmoothed
13.0	14.714520123481751	16.28099877829984	1.7145201234817504	2.2069885053634644	1000	03	2	cdf	4.034971967473856	unsmoothed
14.0	14.466759908676147	4.175809527202657	0.4667599086761475	0.6236907081604004	1000	03	2	cdf	2.0434797594306278	unsmoothed
16.0	16.402544828414918	3.830198621281514	0.402544828414917	0.6996320819854737	1000	03	2	cdf	1.9570893237871168	unsmoothed
18.5	18.74540899848938	3.3515543758569377	0.2454089984893799	0.6355082187652588	1000	03	2	cdf	1.830725095653888	unsmoothed
22.0	22.10426340389252	2.44561246218073	0.104263403892517	0.4972212724685669	1000	03	2	cdf	1.5638454086580074	unsmoothed
25.5	25.553771535873413	1.4158006036675292	0.053771535873413	0.2984599590301514	1000	03	2	cdf	1.18987419657186	unsmoothed
28.0	27.757603055000303	4.640886222986147	-0.2423969449996948	0.8904100942611695	1000	03	2	cdf	2.154271622378698	unsmoothed
